Date,Block,Primary Type,Location Description,Arrest,Year
1/5/2018 17:00,021XX W CONCORD PL,CRIMINAL DAMAGE,STREET,False,2018
1/6/2018 12:45,002XX N STETSON AVE,BATTERY,ATHLETIC CLUB,False,2018
1/6/2018 23:00,056XX S ABERDEEN ST,BATTERY,APARTMENT,False,2018
1/3/2018 2:30,039XX N WESTERN AVE,BURGLARY,RESIDENCE-GARAGE,False,2018
1/6/2018 5:14,019XX W DIVISION ST,DECEPTIVE PRACTICE,ATM (AUTOMATIC TELLER MACHINE),False,2018
1/6/2018 23:07,022XX W DEVON AVE,GAMBLING,CONVENIENCE STORE,True,2018
1/5/2018 20:00,008XX W BELLE PLAINE AVE,THEFT,RESIDENCE,False,2018
1/15/2018 21:50,008XX W 50TH PL,BATTERY,SIDEWALK,False,2018
1/6/2018 12:00,040XX N PAULINA ST,CRIMINAL DAMAGE,RESIDENCE-GARAGE,False,2018
1/20/2018 0:04,029XX E 79TH ST,HOMICIDE,STREET,False,2018
1/20/2018 13:53,000XX W 69TH ST,HOMICIDE,CTA PROPERTY,True,2018
1/21/2018 2:44,129XX S HALSTED ST,HOMICIDE,STREET,False,2018
1/21/2018 3:43,060XX W BELDEN AVE,HOMICIDE,STREET,True,2018
1/21/2018 3:45,060XX W BELDEN AVE,HOMICIDE,STREET,True,2018
1/8/2018 0:45,044XX S WHIPPLE ST,NARCOTICS,STREET,True,2018
1/7/2018 20:00,077XX S KINGSTON AVE,THEFT,STREET,False,2018
1/8/2018 10:00,025XX N CENTRAL AVE,ROBBERY,ALLEY,False,2018
1/8/2018 14:15,038XX W FILLMORE ST,THEFT,CONSTRUCTION SITE,False,2018
1/8/2018 19:45,0000X W OAK ST,THEFT,STREET,False,2018
1/8/2018 22:32,091XX S PRINCETON AVE,BATTERY,APARTMENT,False,2018
1/8/2018 9:30,020XX W 62ND ST,ASSAULT,"SCHOOL, PUBLIC, BUILDING",False,2018
1/9/2018 21:55,052XX S CORNELL AVE,ASSAULT,RESIDENCE PORCH/HALLWAY,False,2018
1/9/2018 22:40,033XX N OZARK AVE,BURGLARY,RESIDENCE,False,2018
