ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11212044,JB127044,1/23/2018 16:58,039XX W 59TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,822,8,13,65,18,1151146,1865189,2018,5/4/2018 15:51,41.78596175,-87.7213702,"(41.785961745, -87.721370198)"
11212078,JB127013,1/23/2018 16:50,0000X N STATE ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,112,1,42,32,6,1176364,1900524,2018,5/4/2018 15:51,41.88239406,-87.6278448,"(41.882394062, -87.627844798)"
11212165,JB127200,1/23/2018 10:33,049XX S WESTERN AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,923,9,14,63,6,1161190,1871973,2018,5/4/2018 15:51,41.80437585,-87.68435596,"(41.80437585, -87.684355963)"
11212285,JB127322,1/23/2018 20:20,003XX E 47TH ST,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,215,2,3,38,6,1179016,1873926,2018,5/4/2018 15:51,41.8093471,-87.61891922,"(41.809347098, -87.618919216)"
11212354,JB127397,1/23/2018 19:00,071XX S LOWE AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,732,7,6,68,3,1173378,1857652,2018,5/4/2018 15:51,41.76481622,-87.64007956,"(41.764816217, -87.640079564)"
11212384,JB127431,1/23/2018 21:04,130XX S EVANS AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE,FALSE,533,5,9,54,18,1183714,1818684,2018,5/4/2018 15:51,41.65764838,-87.60340633,"(41.657648378, -87.603406328)"
11212385,JB127018,1/23/2018 14:00,042XX W 21ST ST,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1012,10,24,29,5,1148438,1889752,2018,5/4/2018 15:51,41.85341859,-87.7306675,"(41.853418586, -87.730667501)"
11212412,JB127473,1/23/2018 23:30,057XX S CICERO AVE,810,THEFT,OVER $500,AIRPORT EXTERIOR - NON-SECURE AREA,FALSE,FALSE,813,8,23,56,6,1145654,1866253,2018,5/4/2018 15:51,41.78898704,-87.74147999,"(41.788987036, -87.74147999)"
11212414,JB127426,1/23/2018 22:15,0000X W RANDOLPH ST,460,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,FALSE,FALSE,111,1,42,32,08B,1175790,1901280,2018,5/4/2018 15:51,41.8844815,-87.62992976,"(41.884481498, -87.629929756)"
11212662,JB127438,1/23/2018 21:00,013XX W 18TH ST,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1233,12,25,31,5,1167614,1891525,2018,5/4/2018 15:51,41.85789297,-87.66023381,"(41.857892968, -87.660233811)"
11213956,JB129447,1/23/2018 16:15,080XX S WESTERN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,TRUE,835,8,18,70,04A,1161778,1851102,2018,5/4/2018 15:51,41.74709073,-87.68277849,"(41.747090733, -87.68277849)"
11217582,JB134079,1/12/2018 7:00,041XX N KEYSTONE AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESIDENCE,FALSE,FALSE,1722,17,39,16,10,1148547,1927281,2018,5/4/2018 15:51,41.95639987,-87.72929749,"(41.956399867, -87.72929749)"
11206629,JB119096,1/8/2018 14:05,057XX S CICERO AVE,890,THEFT,FROM BUILDING,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,FALSE,FALSE,813,8,23,56,6,1145654,1866253,2018,5/4/2018 15:51,41.78898704,-87.74147999,"(41.788987036, -87.74147999)"
11212394,JB127465,1/24/2018 0:30,004XX E 109TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,513,5,9,49,26,1180929,1832774,2018,5/4/2018 15:51,41.69637766,-87.61316617,"(41.696377663, -87.613166168)"
23790,JB127183,1/23/2018 19:53,042XX W HIRSCH ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,2534,25,37,23,01A,1148044,1908989,2018,3/18/2019 16:08,41.9062147,-87.73161861,"(41.906214695, -87.731618605)"
